# Neuron Index, RF Height, RF Width
327, 15, 15
328, 15, 15
329, 15, 15
330, 15, 15
331, 15, 15
332, 15, 15
333, 15, 15
334, 15, 15
335, 15, 15
336, 15, 15
337, 15, 14
338, 15, 13
339, 15, 12
340, 14, 12
341, 14, 13
342, 14, 14
343, 14, 15
344, 14, 15
345, 14, 15
346, 14, 15
347, 14, 15
348, 14, 15
349, 14, 15
350, 14, 15
351, 14, 15
352, 14, 15
353, 14, 15
354, 14, 15
355, 14, 15
356, 14, 15
357, 14, 14
358, 14, 13
359, 14, 12
360, 13, 12
361, 13, 13
362, 13, 14
363, 13, 15
364, 13, 15
365, 13, 15
366, 13, 15
367, 13, 15
368, 13, 15
369, 13, 15
370, 13, 15
371, 13, 15
372, 13, 15
373, 13, 15
374, 13, 15
375, 13, 15
376, 13, 15
377, 13, 14
378, 13, 13
379, 13, 12
380, 12, 12
381, 12, 13
382, 12, 14
383, 12, 15
384, 12, 15
385, 12, 15
386, 12, 15
387, 12, 15
388, 12, 15
389, 12, 15
390, 12, 15
391, 12, 15
392, 12, 15
393, 12, 15
394, 12, 15
395, 12, 15
396, 12, 15
397, 12, 14
398, 12, 13
399, 12, 12
